name,faceSrc,team,position,age,height,number,rating
D'Wayne Crawford,,2335,3,18,5"7',78,60
Demario Douglas,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427095.png&w=150,2335,3,18,5"8',9,67
Noah Frith,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365484.png&w=150,2335,3,18,6"4',81,70
Antonio Gandy-Golden,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029893.png&w=150,2335,3,21,6"4',11,92
Damian King,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910415.png&w=150,2335,3,21,5"11',7,69
Shedro Louis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430049.png&w=150,2335,3,18,5"8',1,66
Carlos Poole,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428256.png&w=150,2335,3,18,6"4',83,60
Sean Queen,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365500.png&w=150,2335,3,18,5"11',19,60
Cade Rowland,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570216.png&w=150,2335,3,18,5"11',89,60
Kevin Shaa,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365503.png&w=150,2335,3,20,5"10',2,72
DJ Stubbs,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246920.png&w=150,2335,3,20,5"9',5,73
Nicholas Wade,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4370817.png&w=150,2335,3,18,5"8',87,60
JT Wood,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365508.png&w=150,2335,3,19,6"2',84,60
CJ Yarbrough,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428955.png&w=150,2335,3,18,6"3',13,67
Chris Barrett,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365473.png&w=150,2335,4,20,6"3',15,65
Michael Bollinger,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246889.png&w=150,2335,4,20,5"11',30,65
Shane Drayton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570208.png&w=150,2335,4,19,6"4',45,60
Ryan Eshleman,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365483.png&w=150,2335,4,18,6"6',46,60
Zac Foutz,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910407.png&w=150,2335,4,21,6"3',40,68
Johnny Huntley,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4040874.png&w=150,2335,4,20,6"3',3,67
Jerome Jackson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246902.png&w=150,2335,4,19,6"3',88,65
Micaiah Overton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428179.png&w=150,2335,4,18,6"4',22,60
Mason Yost,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365509.png&w=150,2335,4,18,6"4',16,65
Jacob Bodden,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365475.png&w=150,2335,5,18,6"5',64,60
Damian Bounds,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029883.png&w=150,2335,5,20,6"1',59,60
Carter Bradley,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570205.png&w=150,2335,5,18,6"3',63,60
Henry Chibueze,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365479.png&w=150,2335,5,18,6"3',50,60
Ethan Crawford,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029887.png&w=150,2335,5,21,6"4',66,60
